編號,公民營,廠商名稱_市招,行政區,經營主體,聯絡電話,分機,地址,經度,緯度
90,民營,Curves南港店,南港,沛芮健康科技有限公司,(02)27833166,,臺北市南港區忠孝東路7段299號5樓,121.6048,25.0524
91,民營,TrueFitness 全真概念南港健身館,南港,全真概念健康事業股份有限公司南港分公司,(02)77028999,,臺北市南港區經貿二路188號4樓,121.6150,25.0593
92,民營,Hongtai Cross Fit,南港,風暴體適能股份有限公司,(02)27830321,,臺北市南港區南港路3段215號、217號,121.5806,25.0514
93,民營,勁能健身俱樂部,松山,超越極限運動館,(02)37621518,,臺北市松山區八德路4段465號2樓,121.5709,25.0500
94,民營,台北健身院八德店,松山,精漢堂開發股份有限公司八德門市部,(02)27460587,,臺北市松山區八德路4段656號B1,121.5754,25.0499
95,民營,Curves松山店,松山,雍容華國際有限公司,(02)27483117,,臺北市松山區八德路4段666號4樓,121.5761,25.0499
96,民營,臺安醫院新起點運動中心,松山,基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,2388,臺北市松山區八德路2段424號7樓,121.5473,25.0481
97,民營,WAO,松山,佰藝舞蹈體適能股份有限公司,(02)25775525,,臺北市松山區八德路3段34號B1,121.5520,25.0481
98,民營,全民運動健身中心八德店,松山,龍品國際開發有限公司八德門市,(02)25770921,,臺北市松山區八德路3段34號地下一層之1,121.5520,25.0481
99,民營,Force Fitness小巨蛋店,松山,原力健康事業股份有限公司小巨蛋營業所,(02)25770838,,臺北市松山區八德路3段120號2樓、2樓之1、2樓之2、2樓之3、2樓之4、2樓之5、2樓之6,121.5541,25.0480
100,民營,練健康,中山,凱羅斯健康有限公司,(02)25074196,,臺北市中山區南京東路3段29號B1,121.5380,25.0523
101,民營,Curves南京復興店,中山,優曲線國際有限公司,(02)27118908,,臺北市中山區南京東路3段208號5樓,121.5432,25.0517
102,民營,TrueYoga 全真概念環亞瑜珈健身館,松山,全真概念健康事業股份有限公司環亞分公司,(02)27161234,,臺北市松山區南京東路3段337號9、10樓,121.5480,25.0520
103,民營,GO GYM健身俱樂部巨蛋館,松山,高盛健身事業股份有限公司巨蛋分公司,(02)25796565,,臺北市松山區南京東路4段2號,121.5500,25.0514
104,民營,To Do Fitness,松山,放手做有限公司,(02)27120081,,臺北市松山區南京東路4段15號3樓之１,121.5500,25.0519
105,民營,Beyond Fitness,松山,超越體能顧問有限公司,(02)27152733,,臺北市松山區南京東路4段17號地下1樓,121.5501,25.0519
106,民營,Curves南京小巨蛋店,松山,優曲線國際有限公司松山分公司,(02)25798181,,臺北市松山區南京東路4段50號4樓之2,121.5535,25.0514
107,民營, WORK SPORTS,松山,窩糕運動事業有限公司,(02)27491991,,臺北市松山區南京東路5段84號2樓,121.5614,25.0513
108,民營,健身工廠健康場,松山,柏文健康事業股份有限公司台北健康分公司,(02)27627666,,臺北市松山區健康路156號B1,121.5574,25.0535
109,民營,World Gym健身俱樂部南京店,松山,香港商世界健身事業有限公司南京分公司,(02)27669888,,臺北市松山區南京東路5段196號1樓、198號地下1樓、198號1樓、198號2樓、198號2樓之1、198號3樓、198號4樓、200號1樓,121.5641,25.0512
110,民營,Curves南京三民店,松山,利百加健康事業有限公司,(02)27483316,,臺北市松山區南京東路5段202號3樓之5,121.5647,25.0512
111,民營,康綠企業社,松山,康綠企業社,(02)27679027,,臺北市松山區南京東路5段268號3樓,121.5669,25.0511
112,民營,Curves民生圓環店,松山,右騰實業有限公司民生營業所,(02)27666866,,臺北市松山區民生東路5段133號2樓,121.5614,25.0589
113,民營,統一健身俱樂部台北民生館,松山,統一佳佳股份有限公司民生分公司,(02)27673148,,臺北市松山區民生東路5段149號B1,121.5622,25.0590
114,民營,肌擊Office,松山,肌擊有限公司,,,臺北市松山區民生東路5段204之2號1樓,121.5648,25.0583
115,民營,長庚生物科技股份有限公司健康中心暨身心靈轉化中心,松山,長庚生物科技股份有限公司健康中心暨身心靈轉化中心,(02)27122211,,臺北市松山區民生東路4段54之3號,121.5513,25.0578
116,民營,阿基里斯Fitness Bar,松山,紅誠股份有限公司,(02)25465778,,臺北市松山區民生東路4段45號B1,121.5501,25.0579
117,民營,給力健身房,松山,給力健身有限公司,,,臺北市松山區民生東路3段128號B1,121.5460,25.0575
118,民營,Routine Fitness,大同,寰邦股份有限公司,(02)25523000,,臺北市大同區重慶北路1段1之1號3樓,121.5139,25.0495
119,民營,自由重量,大同,宸光體適能有限公司,(02)25562056,,臺北市大同區鄭州路119號地下一層,121.5110,25.0503
120,民營,PULSE Gym台北中山店,大同,鑫趨勢國際資本股份有限公司,(02)25522892,,臺北市大同區南京西路30號2樓,121.5199,25.0526
121,民營,World Gym健身俱樂部台北民權西店,大同,香港商世界健身事業有限公司台北民權西分公司 ,(02)25992555,,臺北市大同區民權西路136號1樓及地下1樓?,121.5164,25.0627
122,民營,Curves圓山花博店,大同,可芙士有限公司,(02)25997138,,臺北市大同區承德路3段229號3樓之4,121.5187,25.0705
123,民營,Curves捷運中山店,大同,佳佰曆國際有限公司,(02)25553149,,臺北市大同區承德路1段77-1號2樓,121.5177,25.0523
124,民營,Free Power運動訓練,中山,健鑫體適能有限公司,,,臺北市中山區新生北路1段83號B1,121.5283,25.0509
125,民營,Curves忠孝新生店,中正,佳仕旺國際有限公司忠孝新生店,(02)23435333,,臺北市中正區新生南路1段60號3樓,121.5326,25.0407
126,民營,波克萊體能,大安,波克萊體能顧問有限公司,(02)27216675,,臺北市大安區新生南路1段111號地下3樓,121.5331,25.0404
127,民營,World Gym健身俱樂部台北麗水店,大安,香港商世界健身事業有限公司台北麗水分公司 ,(02)23212333,,臺北市大安區麗水街18號1樓,121.5286,25.0308
128,民營,FIT Taiwan,大安,汎宇創新有限公司,(02)87292107,,臺北市大安區敦化南路1段232巷6號地下1樓,121.5477,25.0408
129,民營,59Fitness客製化運動空間,大安,數字進化有限公司,(02)27000559,,臺北市大安區敦化南路2段59號地下1樓,121.5492,25.0312
130,民營,台北健身院新生店,大安,台北健身用品店,(02)23632298,,臺北市大安區新生南路3段58號地下1樓,121.5338,25.0203
131,民營,Super FIT忠孝復興館,大安,極塑股份有限公司忠孝復興門市,(02)27717754,,臺北市大安區忠孝東路3段227號之2號2樓,121.5402,25.0419
132,民營,World Gym健身俱樂部台北統領店,大安,香港商世界健身事業有限公司忠孝分公司,(02)27739000,,臺北市大安區忠孝東路4段201號3、4樓,121.5518,25.0417
133,民營,Curves忠孝敦化店,大安,雍天盛國際有限公司,(02)27218828,,臺北市大安區忠孝東路4段250號2F-3,121.5542,25.0412
134,民營,TLF淬鍊體能訓練中心,大安,生命淬鍊體能顧問有限公司,(02)23515791,,臺北市大安區忠孝東路4段303號地下1樓,121.5555,25.0416
135,民營,好時光女生運動樂園延吉店,大安,好時光創意生活有限公司延吉分公司,,,臺北市大安區延吉街239號2樓,121.5557,25.0363
136,民營,UFC GYM TAIWAN,大安,優競健身事業股份有限公司,(02)87733772,,臺北市大安區安和路1段27號地下2樓,121.5504,25.0392
137,民營,PB SPORT,大安,十勻有限公司,(02)23223668,,臺北市大安區金山南路2段33號B1,121.5273,25.0328
138,民營,Curves六張犁店,大安,康聚股份有限公司,(02)27360050,,臺北市大安區和平東路3段258號4樓,121.5553,25.0215
139,民營,Curves和平科技店,大安,三衡一樹健康事業有限公司,(02)27551581,,臺北市大安區和平東路2段257號3樓,121.5438,25.0250
140,民營,Start Fitness,大安,史達特有限公司,(02)23581686,,臺北市大安區金山南路2段134號,121.5263,25.0296
141,民營,How How GYM    好好健身 ,大安,漢杰健身事業股份有限公司,(02)87730030,,臺北市大安區光復南路180巷6號2樓,121.5573,25.0425
142,民營,Core Space,大安,玉悍有限公司,(02)27068090,,臺北市大安區復興南路2段27號B1,121.5438,25.0319
143,民營,HI FIT運動空間,大安,核立運動顧問有限公司,(02)87733770,,臺北市大安區復興南路1段125號3樓,121.5440,25.0433
144,民營,Curves信義永康店,大安,佳仕旺國際有限公司,(02)33222610,,臺北市大安區信義路2段222號2樓,121.5313,25.0334
145,民營,健身魂,大安,智庫創意股份有限公司,(02)27042177,,臺北市大安區信義路3段109號B1,121.5391,25.0337
146,民營,World Gym健身俱樂部大安店,大安,香港商世界健身事業有限公司大安分公司,(02)23258888,,臺北市大安區信義路4段6號3樓、4樓、5樓,121.5441,25.0331
147,民營,Lioness Studio,大安,萊昂妮絲股份有限公司,(02)27033393,,臺北市大安區信義路4段261號2樓,121.5540,25.0334
148,民營,Curves信義通化店,大安,達文西育樂有限公司,(02)27043470,,臺北市大安區信義路4段263號3樓之1,121.5540,25.0334
149,民營,Anytime Fitness 台北信義安和店,大安,愛美態健康管理顧問股份有限公司,(02)27032803,,臺北市大安區信義路4段279號B1-1,121.5547,25.0333
150,民營,蜂運動訓練空間,大安,蜂動有限公司,,,臺北市大安區羅斯福路2段35巷13號1樓,121.5228,25.0280
151,民營,MARTIAL ARMOUR MMA＆FITNESS ,大安,武甲運動事業有限公司古亭營業所,(02)23631188,,臺北市大安區羅斯福路2段93號B1,121.5241,25.0251
152,民營,FIT ZONE byWorld Gym公館店,大安,香港商世界健身事業有限公司飛動公館分公司,(02)23677666,,臺北市大安區羅斯福路3段281號1樓,121.5313,25.0180
153,民營,World Gym健身俱樂部台北站前店,中正,香港商世界健身事業有限公司台北分公司,(02)23117000,,臺北市中正區忠孝西路1段50號6樓、6樓之1,121.5158,25.0463
154,民營,Curves古亭店,中正,台灣威凌克股份有限公司古亭二號分公司,(02)23643002,,臺北市中正區羅斯福路2段116號3樓之1,121.5227,25.0264
155,民營,Curves臺大公館店,中正,三衡一樹健康事業有限公司公館分公司,(02)23681100,,臺北市中正區羅斯福路4段64號4樓,121.5341,25.0147
156,民營,World Gym健身俱樂部公館店,中正,香港商世界健身事業有限公司公館分公司,(02)23660202,,臺北市中正區羅斯福路4段68號2樓,121.5343,25.0145
157,民營,TrueFitness 全真概念古亭健身館,中正,全真概念健康事業股份有限公司古亭分公司,(02)77266888,,臺北市中正區和平西路1段2號B1~3樓,121.5218,25.0268
158,民營,好時光女生運動樂園古亭店,中正,好時光創意生活有限公司,(02)23512878,,臺北市中正區南昌路2段53號1樓,121.5202,25.0276
159,民營,Force Fitness,中正,原力健康事業股份有限公司,(02)23659928,,臺北市中正區南昌路2段192號2樓之1、之2,121.5238,25.0242
160,民營,就是肌力體能訓練中心,中正,智澄體能有限公司,,,臺北市中正區金門街2-5號1樓,121.5247,25.0232
161,民營,跨時代健身中心-300壯士俱樂部,萬華,岩林健身器材有限公司,(02)23319777,,臺北市萬華區漢口街2段73號B1,121.5052,25.0461
162,民營,Curves西門漢中店,萬華,佑英有限公司,(02)23612327,,臺北市萬華區漢中街157號2樓,121.5071,25.0415
163,民營,World Gym健身俱樂部西門店,萬華,香港商世界健身事業有限公司西門分公司,(02)23889999,,臺北市萬華區西寧南路36號B1,121.5066,25.0456
164,民營,Curves青年公園店,萬華,曲律國際有限公司,(02)23379090,,臺北市萬華區青年路30巷2-3號1樓,121.5045,25.0261
165,民營,Morefit,中正,摩爾菲特國際有限公司,(02)23390002,,臺北市中正區三元街200號1樓,121.5121,25.0276
166,民營,BeeFit蜂運動寧波教室,中正,蜂動有限公司,(02)33933227,,臺北市中正區寧波西街79號,121.5168,25.0304
167,民營,PEETA FITNESS,中山,匹塔有限公司,,,臺北市中山區長安東路2段53號2樓,121.5325,25.0486
168,民營,Forge打鐵健身,中山,天策運動事業有限公司,(02)25643911,,臺北市中山區林森北路133巷67號B1,121.5275,25.0508
169,民營,植健身FIT PLANT GYM,中山,全創適能有限公司,(02)25221152,,臺北市中山區中山北路1段33巷25號1樓,121.5230,25.0486
170,民營,橡體有限公司,中山,橡體有限公司,(02)25221152,,臺北市中山區中山北路1段33巷25號2樓,121.5230,25.0486
171,民營,X-fit studio體適能健體空間,中山,明靚企業社,(02)25622296,,臺北市中山區中山北路2段56號3、4樓,121.5226,25.0564
172,民營,台北運動健身中心,中山,台北健身中心有限公司,(02)25212717,,臺北市中山區民生東路1段29號地下1樓,121.5251,25.0582
173,民營,Curves中山錦州店,中山,歐貝有限公司,(02)25232488,,臺北市中山區中山北路2段115巷45號,121.5247,25.0610
174,民營,跑者肌地 Runner Sports Training,中山,跑者肌地有限公司,,,臺北市中山區雙城街38-1號,121.5242,25.0671
175,民營,布勒斯運動顧問,中山,布勒斯運動顧問股份有限公司 ,(02)25158508,,臺北市中山區復興北路446號,121.5440,25.0640
176,民營,World Gym健身俱樂部民權東店,中山,香港商世界健身事業有限公司台北民權東分公司,(02)25155522,,臺北市中山區民權東路3段72號地下一層、74號地下一層、民權東路3段60巷1號1樓及2樓,121.5425,25.0620
177,民營,Curves民權龍江店,中山,貝拉拉有限公司,(02)25093303,,臺北市中山區民權東路3段21號7樓,121.5417,25.0626
178,民營,PULSE Gym台北建國店,中山,鑫趨勢國際資本股份有限公司,(02)25157800,,臺北市中山區建國北路1段96號1樓,121.5363,25.0504
179,民營,Curves建國長春店,中山,申展健康事業有限公司,(02)25152827,,臺北市中山區建國北路2段74號3樓,121.5365,25.0550
180,民營,Super FIT松江民權館,中山,極塑股份有限公司松民門市,(02)25179881,,臺北市中山區建國北路2段123號2樓,121.5373,25.0598
181,民營,Monkey Training猴子體能訓練,中山,康璽運動行銷有限公司,(02)25311228,,臺北市中山區松江路276號6樓,121.5330,25.0598
182,民營,EAGER SPORT,中山,伊格運動有限公司,(02)27505036,,臺北市中山區復興北路60號4樓,121.5438,25.0503
183,民營,FIT IN 健身訓練工作室台北中山店,中山,壹神體育用品有限公司,,,臺北市中山區復興北路344號3樓,121.5440,25.0598
184,民營,鍛鍊基地Workout Base ,中山,駿騰事業有限公司,(02)27188330,,臺北市中山區長春路410號2樓,121.5437,25.0545
185,民營,World Gym健身俱樂部台北長春店,中山,香港商世界健身事業有限公司台北長春分公司,(02)25215222,,臺北市中山區長春路90號、長春路90號地下1樓及新生北路2段40號,121.5250,25.0548
186,民營,VShape 頗行健體運動空間,中山,頗行健體有限公司,,,臺北市中山區長春路61巷27號及29號,121.5264,25.0559
187,民營,Curves社子延平店,士林,菲妮斯有限公司,(02)28133066,,臺北市士林區延平北路5段307號2樓,121.5093,25.0862
188,民營,Curves劍潭店,士林,駱希有限公司 ,(02)28816108,,臺北市士林區承德路4段191號2樓、2樓之1,121.5223,25.0880
189,民營,HappySport體能休閒空間,士林,蕙富瑞奇有限公司,(02)28827460,,臺北市士林區文林路205號3樓,121.5270,25.0901
190,民營,POWER FIT運動工作室,士林,波爾管理顧問有限公司,(02)28836680,,臺北市士林區大北路72號1樓,121.5251,25.0902
191,民營,巧翊體適能館,士林,巧翊體適能館,(02)28311891,,臺北市士林區中正路188號2樓,121.5272,25.0958
192,民營,TrueFitness 全真概念天母健身館,士林,全真概念健康事業股份有限公司天母分公司,(02)77471800,,臺北市士林區忠誠路2段188號B1,121.5337,25.1164
193,民營,World Gym健身俱樂部台北天母德行店,士林,香港商世界健身事業有限公司天母德行分公司,(02)28358880,,臺北市士林區德行東路331巷35號地下層、1樓及2樓,121.5379,25.1117
194,民營,Curves士林店,士林,荷聲健康促進有限公司,(02)28341248,,臺北市士林區中山北路5段687號2樓之1,121.5273,25.0972
195,民營,Curves天母店,士林,台灣威凌克股份有限公司可爾斯天母一號分公司,(02)28766108,,臺北市士林區天母西路3號3樓之11,121.5293,25.1190
